,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
0,201166,Aaron Brooks,1610612750,MIN,32,19,13,5.9,2.3,12.6,4.1,1.1,5.25,5.14,0.186,0.0,0.0,0.1,0.0,0.0,0.0
1,203932,Aaron Gordon,1610612753,ORL,58,19,39,32.9,17.6,59.9,31.8,2.4,2.44,1.65,0.294,1.8,2.3,3.9,0.68,0.458,0.974
2,1626151,Aaron Harrison,1610612742,DAL,9,2,7,25.9,6.7,29.2,17.7,1.1,2.35,1.63,0.228,1.0,0.0,0.3,0.0,0.0,1.333
3,1627846,Abdel Nader,1610612738,BOS,47,32,15,11.1,3.1,13.3,9.9,0.5,2.32,1.46,0.233,0.1,0.1,0.5,0.0,1.0,0.455
4,203940,Adreian Payne,1610612753,ORL,5,0,5,8.5,4.2,12.4,6.8,0.4,1.77,0.68,0.339,1.0,0.6,1.0,0.2,0.667,1.0
5,201143,Al Horford,1610612738,BOS,69,44,25,31.5,12.8,63.6,40.1,2.3,2.2,1.06,0.201,3.1,5.2,3.8,0.414,0.475,0.693
6,2744,Al Jefferson,1610612754,IND,36,17,19,13.4,7.0,26.7,15.9,0.8,1.76,0.42,0.262,2.4,3.8,2.0,0.424,0.765,0.877
7,202329,Al-Farouq Aminu,1610612757,POR,69,40,29,30.0,9.3,36.1,19.3,1.2,1.97,1.0,0.259,0.9,0.2,2.2,0.234,0.154,0.631
8,1626210,Alan Williams,1610612756,PHX,5,1,4,14.1,4.0,23.4,15.6,0.6,1.66,0.54,0.171,5.0,2.2,2.8,0.16,0.0,0.643
9,202692,Alec Burks,1610612762,UTA,64,37,27,16.5,7.7,25.9,17.1,1.3,3.0,2.5,0.298,0.4,0.0,0.5,0.87,0.0,1.182
10,1628409,Alec Peters,1610612756,PHX,20,2,18,11.2,4.1,16.5,10.3,0.4,1.38,0.34,0.249,0.6,0.2,1.1,0.333,0.667,0.81
11,203518,Alex Abrines,1610612760,OKC,73,42,31,15.1,4.8,15.0,9.5,0.5,1.93,1.14,0.318,0.2,0.0,0.4,0.667,0.0,0.667
12,1627936,Alex Caruso,1610612747,LAL,37,16,21,15.2,3.6,29.5,10.5,2.1,4.26,3.7,0.123,0.3,0.0,0.6,0.333,0.0,0.917
13,203458,Alex Len,1610612756,PHX,69,20,49,20.2,8.5,32.1,19.0,0.8,1.47,0.35,0.265,4.0,1.8,6.3,0.375,0.402,0.873
14,1627816,Alex Poythress,1610612754,IND,25,10,15,4.2,1.0,5.1,2.9,0.1,1.56,0.63,0.203,0.1,0.0,0.7,0.667,0.0,0.588
15,1628035,Alfonzo McKinnie,1610612761,TOR,14,13,1,3.8,1.5,4.6,2.9,0.1,1.84,0.95,0.328,0.0,0.0,0.1,0.0,0.0,2.0
16,203459,Allen Crabbe,1610612751,BKN,73,24,49,29.2,13.2,43.2,32.3,1.2,1.68,0.79,0.305,0.5,0.0,0.7,0.794,0.0,0.588
17,101161,Amir Johnson,1610612755,PHI,74,47,27,15.8,4.6,26.9,18.8,0.6,1.38,0.46,0.172,4.0,0.5,4.4,0.158,0.231,0.668
18,203083,Andre Drummond,1610612765,DET,78,37,41,33.7,15.0,52.3,39.1,1.8,2.07,0.82,0.287,5.4,3.4,11.7,0.278,0.487,0.944
19,2738,Andre Iguodala,1610612744,GSW,64,46,18,25.4,6.0,44.3,23.4,2.3,3.05,2.01,0.135,1.2,1.0,1.8,0.284,0.266,0.707
20,201281,Andre Ingram,1610612747,LAL,2,1,1,32.1,12.0,34.0,25.0,0.9,1.57,1.13,0.353,0.0,0.5,0.5,0.0,0.0,0.0
21,203460,Andre Roberson,1610612760,OKC,37,24,13,26.6,4.9,24.5,14.3,0.5,1.28,0.41,0.2,0.9,0.0,3.9,0.515,0.0,0.66
22,101106,Andrew Bogut,1610612747,LAL,24,7,17,9.0,1.5,15.1,8.2,0.4,1.69,0.53,0.099,1.3,0.3,2.0,0.188,0.0,0.75
23,1626150,Andrew Harrison,1610612763,MEM,56,17,39,23.7,9.5,54.4,25.1,4.3,4.77,4.36,0.175,0.5,0.0,0.4,0.556,1.0,0.143
24,1628510,Andrew White III,1610612737,ATL,15,1,14,13.9,4.6,15.3,11.3,0.5,1.81,1.02,0.3,0.3,0.0,0.4,0.4,0.0,0.667
25,203952,Andrew Wiggins,1610612750,MIN,82,47,35,36.3,17.7,42.5,31.7,2.1,2.9,1.95,0.416,0.5,2.5,2.3,0.636,0.665,1.122
26,1627790,Ante Zizic,1610612739,CLE,32,21,11,6.7,3.7,8.7,4.8,0.2,1.7,0.48,0.427,1.0,0.9,2.3,0.419,0.571,1.123
27,1626148,Anthony Brown,1610612750,MIN,1,0,1,3.7,3.0,5.0,2.0,0.2,2.32,1.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0
28,203076,Anthony Davis,1610612740,NOP,75,45,30,36.4,28.1,71.7,43.9,2.3,1.93,0.85,0.392,4.4,6.4,10.1,0.681,0.614,1.153
29,201229,Anthony Tolliver,1610612765,DET,79,37,42,22.2,8.9,46.1,20.4,1.0,1.34,0.28,0.193,0.7,0.1,1.0,0.107,0.667,0.772
30,1628469,Antonio Blakeney,1610612741,CHI,19,3,16,16.5,7.9,18.4,14.8,0.8,2.73,2.2,0.431,0.2,0.0,0.4,0.0,0.0,1.143
31,1628499,Antonius Cleveland,1610612737,ATL,17,7,10,7.2,1.4,5.9,4.3,0.2,1.91,1.19,0.23,0.1,0.0,0.5,0.0,0.0,0.5
32,203382,Aron Baynes,1610612738,BOS,78,51,27,18.4,5.9,28.2,19.1,0.7,1.54,0.38,0.21,3.0,1.4,4.6,0.342,0.541,0.711
33,201167,Arron Afflalo,1610612753,ORL,53,16,37,12.9,3.4,14.1,10.9,0.5,2.03,1.01,0.24,0.3,1.1,0.2,0.667,0.345,0.4
34,203085,Austin Rivers,1610612746,LAC,61,30,31,33.7,15.1,68.9,33.0,5.2,4.52,4.03,0.219,0.6,0.0,1.0,0.649,0.0,0.65
35,202340,Avery Bradley,1610612746,LAC,46,22,24,31.2,14.3,40.3,34.8,1.4,2.08,1.33,0.354,1.2,0.0,1.4,0.434,2.0,0.848
36,1628389,Bam Adebayo,1610612748,MIA,68,33,35,19.8,7.0,27.3,20.1,1.0,2.16,0.77,0.256,5.0,2.7,4.8,0.127,0.187,0.892
37,203463,Ben McLemore,1610612763,MEM,56,7,49,19.5,7.5,27.9,19.0,0.9,1.91,1.13,0.27,0.9,0.0,1.4,0.48,0.0,0.775
38,1628500,Ben Moore,1610612754,IND,2,1,1,4.6,0.0,4.0,1.5,0.1,1.12,0.37,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39,1627732,Ben Simmons,1610612755,PHI,80,51,29,33.8,15.8,95.0,34.0,7.0,4.45,3.53,0.166,1.3,3.2,4.6,0.613,0.197,0.764
40,202687,Bismack Biyombo,1610612753,ORL,82,25,57,18.2,5.7,30.3,15.1,0.8,1.52,0.28,0.189,2.9,0.5,5.3,0.295,0.579,0.727
41,201933,Blake Griffin,1610612765,DET,58,28,30,34.0,21.4,86.3,51.0,4.0,2.81,1.95,0.248,3.9,6.4,3.2,0.384,0.436,0.76
42,1626246,Boban Marjanovic,1610612746,LAC,39,18,21,8.7,6.0,13.3,8.8,0.4,1.65,0.36,0.453,1.1,3.2,4.5,0.244,0.635,0.943
43,201628,Bobby Brown,1610612745,HOU,20,17,3,5.7,2.5,12.0,6.5,0.9,4.41,3.91,0.209,0.1,0.0,0.0,0.0,0.0,0.0
44,1626171,Bobby Portis,1610612741,CHI,73,25,48,22.5,13.2,43.0,27.3,1.3,1.76,0.85,0.307,2.2,2.6,4.3,0.362,0.613,0.889
45,203992,Bogdan Bogdanovic,1610612758,SAC,78,26,52,27.9,11.8,48.8,33.4,2.5,3.13,2.31,0.241,0.7,0.3,1.0,0.509,0.583,0.654
